"Original.Release","Order","Release","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-A","First",10,4,0,2,3,79,76,39,63,60,31,9,4,2,6,NA,2,71,3,8,46,4,4,59,TRUE
"Keymind-A","First",10,10,0,5,3,264,230,52,210,204,42,26,5,2,6,NA,5,237,23,27,69,0,0,33,TRUE
"Keymind-A","First",10,6,0,0,2,181,123,29,101,43,17,19,5,3,6,NA,6,141,11,40,44,2,2,22,TRUE
"Keymind-A","First",10,33,0,12,2,888,300,41,554,182,27,64,5,1,6,NA,21,721,127,167,75,0,0,84,TRUE
"Keymind-A","First",10,10,0,1,1,240,132,26,96,78,10,29,5,2,6,NA,9,168,29,72,37,0,0,29,TRUE
"Keymind-A","First",10,2,0,0,1,18,9,9,18,9,9,3,2,1,5,NA,2,18,1,0,18,0,0,12,FALSE
"Keymind-A","First",10,1,0,0,1,85,85,85,85,85,85,5,5,5,5,NA,1,85,0,0,90,0,0,14,FALSE
"Keymind-A","First",10,1,0,0,1,62,62,62,62,62,62,2,2,2,2,NA,1,62,0,0,64,4,4,51,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,44,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,57,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,20,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,25,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,25,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,28,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,12,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,56,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,35,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,48,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,29,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,44,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,116,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,44,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,37,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,25,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,192,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,395,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,78,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,27,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,38,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,51,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,NA,0,0,0,0,0,0,0,12,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,NA,0,0,0,0,0,0,0,27,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,NA,0,0,0,0,0,0,0,36,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,NA,0,0,0,0,0,0,0,20,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,19,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,25,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,15,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,47,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,44,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,17,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,149,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,19,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,23,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,103,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,84,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,12,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,60,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,19,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,90,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,44,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,46,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,39,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,28,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,98,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,60,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,102,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,73,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,93,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,35,FALSE
