NR	NREF	NFIX	NAUTH	LINES_SUM	LINES_MAX	LINES_AVG	CHURN_SUM	CHURN_MAX	CHURN_AVG	CHGSET_SUM	CHGSET_MAX	CHGSET_AVG	AGE	AGE_WEIGHTED	Impl	LOC.A	LOC.M	LOC.D	Size	Violations.Injected	Violations	Size.Next	Faultiness
0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	11	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	5	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	42	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	28	TRUE
0	0	0	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0	0	0	0	7	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	38	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	37	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	2	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0	0	35	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-17	0	0	0	0	0	0	0	0	94	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-17	0	0	0	0	0	0	0	0	10	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-17	0	0	0	0	0	0	0	0	82	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	650	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	680	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	1279	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	652	FALSE
0	0	0	0	0	0	0	0	0	0	0	0	0	-26	0	0	0	0	0	0	0	0	689	FALSE
