@relation Keymind-AA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute CHGSET_SUM numeric
@attribute AGE numeric
@attribute Size.Next numeric
@attribute Faultiness {TRUE,FALSE}

@data
0,27,56,TRUE
38,27,63,TRUE
27,27,10,FALSE
0,27,38,TRUE
23,27,23,TRUE
0,27,7,FALSE
16,27,9,FALSE
0,27,11,FALSE
28,27,9,FALSE
0,27,7,FALSE
28,26,16,TRUE
39,26,49,TRUE
16,26,15,FALSE
37,26,155,TRUE
9,26,17,FALSE
13,26,137,TRUE
11,26,87,FALSE
0,26,58,FALSE
21,25,39,FALSE
14,25,20,FALSE
0,25,43,TRUE
4,25,10,FALSE
0,25,29,FALSE
9,25,25,TRUE
31,25,50,TRUE
2,25,21,FALSE
2,25,28,TRUE
6,25,25,FALSE
7,24,16,FALSE
29,24,15,FALSE
49,24,33,TRUE
88,24,26,TRUE
41,24,38,TRUE
91,24,70,TRUE
23,24,23,TRUE
3,23,8,FALSE
8,23,41,TRUE
0,20,51,TRUE
12,18,64,FALSE
39,18,9,FALSE
7,18,64,FALSE
38,18,25,TRUE
49,18,2,FALSE
19,18,13,FALSE
14,18,7,FALSE
19,18,2,FALSE
34,18,3,FALSE
8,18,13,FALSE
6,18,40,FALSE
95,17,39,TRUE
21,15,9,FALSE
36,13,13,FALSE
10,13,16,FALSE
6,13,34,FALSE
7,12,49,FALSE
15,12,83,TRUE
21,12,30,FALSE
18,12,47,TRUE
32,12,20,FALSE
20,11,12,FALSE
33,10,51,FALSE
87,10,86,TRUE
20,10,23,FALSE
8,9,16,FALSE
1,8,9,FALSE
13,8,21,FALSE
0,-6,39,FALSE
0,-6,20,FALSE
0,-6,28,FALSE
0,-6,44,TRUE
0,-6,21,FALSE
0,-6,21,FALSE
0,-6,14,FALSE
0,-6,16,FALSE
0,-6,39,TRUE
0,-6,89,FALSE
0,-6,44,TRUE
0,-6,29,FALSE
0,-6,43,FALSE
0,-7,61,TRUE
0,-7,61,FALSE
0,-7,88,TRUE
0,-7,22,FALSE
0,-7,35,FALSE
0,-7,81,TRUE
0,-7,21,FALSE
0,-7,25,FALSE
0,-7,48,FALSE
0,-7,35,FALSE
0,-7,101,FALSE
0,-7,120,TRUE
0,-7,19,FALSE
0,-7,22,TRUE
0,-7,46,TRUE
0,-7,40,FALSE
0,-8,56,FALSE
0,-10,29,FALSE
0,-10,55,TRUE
0,-10,53,FALSE
0,-10,52,TRUE
0,-10,38,TRUE
0,-10,48,TRUE
0,-10,34,TRUE
0,-10,35,TRUE
0,-10,111,TRUE
0,-10,121,TRUE
0,-10,62,FALSE
0,-10,145,TRUE
0,-10,36,FALSE
0,-10,81,TRUE
0,-11,65,FALSE
0,-11,94,FALSE
0,-11,83,FALSE
0,-19,59,TRUE
0,-19,51,TRUE
0,-19,31,FALSE
0,-20,92,FALSE
0,-20,149,FALSE
0,-20,21,FALSE
0,-21,14,FALSE
0,-21,35,TRUE
0,-21,35,FALSE
0,-21,42,TRUE
0,-21,20,FALSE
0,-21,17,FALSE
0,-21,140,FALSE
0,-21,14,FALSE
0,-21,35,FALSE
0,-21,17,FALSE
0,-21,100,FALSE
0,-21,53,FALSE
0,-21,346,FALSE
0,-21,95,FALSE
0,-21,53,FALSE
0,-21,3,FALSE
0,-22,22,FALSE
0,-22,11,FALSE
0,-22,5,FALSE
0,-23,42,FALSE
0,-23,28,TRUE
0,-23,7,FALSE
0,-23,38,FALSE
0,-23,37,FALSE
0,-23,2,FALSE
0,-23,35,FALSE
0,-35,94,FALSE
0,-35,10,FALSE
0,-35,82,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,650,FALSE
0,-44,1279,FALSE
0,-44,680,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,652,FALSE
0,-44,689,FALSE
0,-44,693,FALSE
0,-44,669,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,1279,FALSE
0,-44,649,FALSE
0,-45,23,FALSE
0,-45,44,FALSE
0,-45,45,FALSE
0,-45,35,FALSE
0,-45,20,FALSE
0,-45,41,FALSE
0,-45,54,FALSE
0,-71,9,FALSE
0,-72,105,TRUE
3,45,21,TRUE
23,45,91,FALSE
10,45,78,TRUE
4,45,12,FALSE
0,45,7,FALSE
15,45,17,FALSE
0,45,7,FALSE
7,45,26,FALSE
7,45,16,FALSE
38,45,10,TRUE
35,45,13,TRUE
0,45,38,TRUE
7,45,7,FALSE
0,45,7,FALSE
52,45,79,FALSE
0,45,7,FALSE
15,44,9,FALSE
32,44,18,FALSE
1,44,131,FALSE
0,44,137,TRUE
1,44,67,FALSE
6,44,19,FALSE
6,43,10,FALSE
13.939827,9,29.098411,TRUE
17.524335,6.90298,26.772187,TRUE
18.600812,9.523113,43.695507,TRUE
13.571051,9,34.695172,TRUE
17.11294,7.691148,53.017014,TRUE
10.31607,6.878867,58.170115,TRUE
48.393661,10.256524,26.613685,TRUE
13.408153,9,31.830486,TRUE
17.872775,9,32.091302,TRUE
49.042804,8.853948,10.851198,TRUE
50.072853,9,12.0995,TRUE
48.12294,8.401368,65.945104,TRUE
37.128759,13.397619,27.507143,TRUE
29.473187,8.729824,35.546978,TRUE
47.309304,8.338655,20.589515,TRUE
51.312627,20.221128,41.4338,TRUE
49.096062,18.08754,37.919113,TRUE
37.731637,7.907281,33.507029,TRUE
51.379951,7.85405,41.777117,TRUE
11.738309,6.975528,79,TRUE
5.502749,5.427183,79.210233,TRUE
43.58687,7,34.638077,TRUE
23.206595,7.016703,42.082634,TRUE
10.387034,6.119401,54.934416,TRUE
0.732285,4.952299,27.758664,TRUE
6.253072,7.757246,28,TRUE
6.36912,-4.36832,80.054072,TRUE
10.899789,10.00244,80.705772,TRUE
3.502293,6.547224,54.472147,TRUE
5.581354,6.512719,51.649269,TRUE
8.753741,6,57.928409,TRUE
20.96647,6,29.830892,TRUE
11.786381,6.965795,26.681952,TRUE
52.425287,8.73466,79.076044,TRUE
60.924505,8.700759,83.676946,TRUE
20.717469,8.171254,34.438937,TRUE
21.851671,6,25.821515,TRUE
0.796171,0.724106,48.87643,TRUE
0,0,25,TRUE
0,-2.231643,27.571381,TRUE
0,-0.595928,27.039422,TRUE
0,-0.446168,58.436564,TRUE
0,-1.074836,55.069659,TRUE
0,-4.838582,36.745054,TRUE
0,0,44.664807,TRUE
0,-2.093888,47.893813,TRUE
0,-3.969333,44,TRUE
0,-5.491445,177.178125,TRUE
0,-1.05936,149.134321,TRUE
11.688948,21.210026,357.661128,TRUE
1.806333,5.347736,78.156153,TRUE
0,-4.87279,78.284632,TRUE
0,-4.387974,27.454075,TRUE
0,-0.530046,42.918094,TRUE
0,-0.128206,38.310515,TRUE
0,-4.301126,22.543173,TRUE
0,-4.679371,23.615877,TRUE
0,-5.945102,19,TRUE
0,-5.500541,18.32393,TRUE
0,-5.81878,85.28886,TRUE
0,-0.867935,82.211008,TRUE
0,-6.461383,13.196398,TRUE
0,-5.432967,14.596971,TRUE
0,-7.76447,57.360068,TRUE
0,-6,56.034029,TRUE
0,-6,12.801467,TRUE
0,-5.014221,19,TRUE
0,-6.99714,82.829868,TRUE
0,-1.691125,25.290943,TRUE
0,-4.077636,27.28566,TRUE
0,-7.099863,46.45473,TRUE
0,-6,44.402164,TRUE
0,-6,57.031594,TRUE
0,-6.330384,15.858349,TRUE
