"Original.Release","Release","Order","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-B",100,"FIRST",16,0,0,2,218,62,13,22,-14,1,79,11,4,21,NA,16,120,186,98,36,31,31,37,FALSE
"Keymind-B",100,"FIRST",6,0,0,2,81,72,13,9,0,1,37,11,6,21,NA,6,45,15,36,26,0,0,96,FALSE
"Keymind-B",100,"FIRST",2,0,1,2,0,0,0,0,0,0,23,20,11,21,NA,1,0,1,0,9,0,0,36,FALSE
"Keymind-B",100,"FIRST",1,0,0,1,72,72,72,0,0,0,29,29,29,21,NA,1,36,9,36,96,0,0,141,FALSE
"Keymind-B",100,"FIRST",1,0,0,1,0,0,0,0,0,0,29,29,29,21,NA,1,0,24,0,113,0,0,51,FALSE
"Keymind-B",100,"FIRST",2,0,0,2,16,16,7,2,2,1,47,29,23,21,NA,2,9,4,7,16,0,0,36,FALSE
"Keymind-B",100,"FIRST",2,0,0,2,9,9,4,9,9,4,40,29,20,21,NA,2,9,28,0,76,0,0,119,FALSE
"Keymind-B",100,"FIRST",5,0,2,3,16,14,5,4,2,1,58,29,11,21,NA,3,10,6,6,18,0,0,20,FALSE
"Keymind-B",100,"FIRST",1,0,0,1,1,1,1,1,1,1,29,29,29,21,NA,1,1,0,0,9,25,25,119,FALSE
"Keymind-B",100,"FIRST",3,0,0,3,19,16,6,7,4,2,58,29,19,21,NA,3,13,4,6,15,0,0,40,FALSE
"Keymind-B",100,"FIRST",1,0,0,1,2,2,2,2,2,2,29,29,29,21,NA,1,2,0,0,16,65,65,140,FALSE
"Keymind-B",100,"FIRST",1,0,0,1,1,1,1,1,1,1,29,29,29,21,NA,1,1,0,0,9,29,29,63,FALSE
"Keymind-B",100,"FIRST",4,0,2,2,0,0,0,0,0,0,40,29,10,21,NA,2,0,30,0,73,0,0,11,FALSE
"Keymind-B",100,"FIRST",3,0,0,2,35,30,11,9,8,3,48,29,16,21,NA,3,22,13,13,28,0,0,45,FALSE
"Keymind-B",100,"FIRST",1,0,1,1,0,0,0,0,0,0,5,5,5,20,NA,0,0,0,0,0,63,63,72,FALSE
"Keymind-B",100,"FIRST",1,0,1,1,0,0,0,0,0,0,4,4,4,20,NA,0,0,0,0,0,76,76,143,FALSE
"Keymind-B",100,"FIRST",11,0,0,1,143,64,12,135,58,12,31,10,2,19,NA,11,139,24,4,26,12,12,9,FALSE
"Keymind-B",100,"FIRST",9,0,0,3,375,364,40,-1,-6,0,62,18,6,19,NA,9,187,35,188,39,0,0,13,FALSE
"Keymind-B",100,"FIRST",2,0,1,1,0,0,0,0,0,0,4,3,2,19,NA,1,0,1,0,9,0,0,4,FALSE
"Keymind-B",100,"FIRST",1,0,0,1,1,1,1,1,1,1,11,11,11,19,NA,1,1,0,0,9,41,41,16,FALSE
"Keymind-B",100,"FIRST",3,0,2,2,0,0,0,0,0,0,28,14,9,19,NA,1,0,1,0,6,0,0,50,FALSE
"Keymind-B",100,"FIRST",1,0,0,2,0,0,0,0,0,0,13,11,6,19,NA,1,0,1,0,9,0,0,11,FALSE
"Keymind-B",100,"FIRST",2,0,1,2,5,5,5,5,5,5,16,11,8,19,NA,1,5,0,0,13,70,70,16,FALSE
"Keymind-B",100,"FIRST",1,0,0,2,0,0,0,0,0,0,13,11,6,19,NA,1,0,1,0,5,0,0,12,FALSE
"Keymind-B",100,"FIRST",1,0,1,1,0,0,0,0,0,0,3,3,3,19,NA,0,0,0,0,0,125,125,36,FALSE
"Keymind-B",100,"FIRST",3,0,0,1,20,19,6,18,17,6,15,7,5,19,NA,3,19,19,1,32,47,47,9,FALSE
"Keymind-B",100,"FIRST",4,0,4,1,0,0,0,0,0,0,4,1,1,19,NA,0,0,0,0,0,9,9,30,TRUE
"Keymind-B",100,"FIRST",1,0,1,1,0,0,0,0,0,0,1,1,1,19,NA,0,0,0,0,0,61,61,9,FALSE
"Keymind-B",100,"FIRST",3,0,2,2,0,0,0,0,0,0,10,5,3,18,NA,1,0,1,0,9,0,0,24,FALSE
"Keymind-B",100,"FIRST",2,0,2,1,0,0,0,0,0,0,2,1,1,18,NA,0,0,0,0,0,64,64,53,FALSE
"Keymind-B",100,"FIRST",5,0,3,2,0,0,0,0,0,0,16,10,3,17,NA,2,0,5,0,15,0,0,28,TRUE
"Keymind-B",100,"FIRST",2,0,1,1,0,0,0,0,0,0,9,7,4,17,NA,1,0,9,0,19,24,24,15,FALSE
"Keymind-B",100,"FIRST",3,0,2,2,59,59,59,9,9,9,9,5,3,14,NA,1,34,10,25,64,80,80,12,FALSE
"Keymind-B",100,"FIRST",1,0,1,1,0,0,0,0,0,0,1,1,1,10,NA,0,0,0,0,0,38,38,9,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,38,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,28,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,23,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,16,16,16,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-19,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,0,0,0,0,0,0,0,0,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,0,0,0,0,0,0,0,0,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,0,0,0,0,0,0,0,0,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-21,NA,0,0,0,0,0,0,0,0,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,17,17,29,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,15,15,27,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,16,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,14,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,15,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,15,15,20,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,15,15,26,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,16,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,11,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,20,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,18,18,27,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,2,2,23,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,1,1,11,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,67,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,9,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,9,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,134,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,57,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,96,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,11,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,57,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,16,16,25,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,95,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,134,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,11,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,129,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,250,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,466,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,248,FALSE
"Keymind-B",100,"FIRST",0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,0,0,0,466,FALSE
